"English","English plural (if shown)","Welsh","Welsh plural","Notes","Source"
"Failed to fetch representatives.","","Methwyd nôl cynrychiolwyr.","","","src/components/FindMyRepApp.tsx:132 src/components/FindMyRepApp.tsx:139"
"An error occurred. Please try again.","","Digwyddodd gwall. Rhowch gynnig arall arni.","","","src/components/FindMyRepApp.tsx:143 src/components/FindMyRepApp.tsx:229"
"Some letters could not be delivered:","","Ni ellid dosbarthu rhai llythyrau:","","","src/components/FindMyRepApp.tsx:212"
"Failed to send letters.","","Methwyd anfon llythyrau.","","","src/components/FindMyRepApp.tsx:224"
"Please fill in all fields.","","Llenwch bob maes.","","","src/components/LetterStep.tsx:66"
"Please enter a valid email address.","","Rhowch gyfeiriad e-bost dilys.","","","src/components/LetterStep.tsx:72"
"Please remove excessive links before sending your message.","","Rhaid cael gwared ar ddolenni gormodol cyn anfon eich neges.","","","src/components/LetterStep.tsx:79"
"Review and Edit Your Letter","","Adolygwch a Golygwch Eich Llythyr","","","src/components/LetterStep.tsx:93"
"Your Name:","","Eich Enw:","","","src/components/LetterStep.tsx:96"
"Your Email:","","Eich Ebost:","","","src/components/LetterStep.tsx:109"
"Please keep your message respectful. Abusive, threatening, or spam-like content will be blocked.","","Cadwch eich neges yn barchus. Bydd cynnwys sarhaus, bygythiol, neu debyg i sbam yn cael ei rwystro.","","","src/components/LetterStep.tsx:129"
"Website","","Gwefan","","Hidden honeypot field label.","src/components/LetterStep.tsx:139"
"Back","","Yn ôl","","","src/components/LetterStep.tsx:158 src/components/SelectStep.tsx:271"
"Sending...","","Yn danfon…","","","src/components/LetterStep.tsx:166"
"Send","","Danfon","","","src/components/LetterStep.tsx:167"
"Find Your Representatives","","Dewch o Hyd i'ch Cynrychiolwyr","","","src/components/PostcodeStep.tsx:33"
"Enter your postcode:","","Cyflwynwch eich cod post:","","","src/components/PostcodeStep.tsx:35"
"e.g. CF10 1EP","","e.e. CF10 1EP","","Keep the example postcode unchanged.","src/components/PostcodeStep.tsx:41"
"Find Representatives","","Dod o Hyd i Gynrychiolwyr","","","src/components/PostcodeStep.tsx:52"
"Member of Parliament","","Aelod o Senedd y DU","","","src/components/SelectStep.tsx:19"
"Member of the Senedd","","Aelod o Senedd Cymru","","","src/components/SelectStep.tsx:21"
"Police and Crime Commissioner","","Comisiynydd yr Heddlu a Throsedd","","","src/components/SelectStep.tsx:23"
"Local Councillor","","Cynghorydd Lleol","","","src/components/SelectStep.tsx:25"
"Select Representatives to Contact","","Dewiswch Gynrychiolwyr i Gysylltu â Nhw","","","src/components/SelectStep.tsx:213"
"Continue","","Parhau","","","src/components/SelectStep.tsx:278"
"Your letter has been sent!","","Mae eich llythyr wedi cael ei anfon!","","","src/components/SuccessStep.tsx:22"
"Sent to:","","Anfonwyd at:","","","src/components/SuccessStep.tsx:29"
"What happens next?","","Beth sy'n digwydd nesaf?","","","src/components/SuccessStep.tsx:44"
"Your representative will receive your letter directly by email.","Your representatives will receive your letter directly by email.","Bydd eich cynrychiolydd yn derbyn eich llythyr yn uniongyrchol drwy e-bost.","Bydd eich cynrychiolwyr yn derbyn eich llythyr yn uniongyrchol drwy e-bost.","Complete both Welsh columns.","src/components/SuccessStep.tsx:47"
"Any reply will go straight to %s — keep an eye on your inbox, including your spam folder.","","Bydd unrhyw ateb yn mynd yn syth i %s — cadwch lygad ar eich mewnflwch, gan gynnwys eich ffolder sbam.","","Keep %s unchanged; it is replaced with the sender's email address.","src/components/SuccessStep.tsx:57"
"Response times vary. Most representatives aim to reply within two to four weeks, though it can take longer during busy parliamentary periods.","","Mae amseroedd ymateb yn amrywio. Mae'r rhan fwyaf o gynrychiolwyr yn anelu at ymateb o fewn pythefnos i bedair wythnos, er y gall gymryd mwy o amser yn ystod cyfnodau seneddol prysur.","","","src/components/SuccessStep.tsx:65"
"If you don't hear back, you can follow up or contact your representative directly through their official contact channels.","If you don't hear back, you can follow up or contact your representatives directly through their official contact channels.","Os na chewch chi ateb, gallwch chi gysylltu â'ch cynrychiolydd yn uniongyrchol drwy eu sianeli cyswllt swyddogol.","","Welsh plural translation still required.","src/components/SuccessStep.tsx:71"
"Start over","","Dechrau o’r newydd","","","src/components/SuccessStep.tsx:87"
