"type","english_singular","english_plural","welsh_translation","welsh_plural_0_n_equals_1","welsh_plural_1_n_equals_2","welsh_plural_2_n_other_except_8_11","welsh_plural_3_n_equals_8_or_11","translator_notes","source_references"
"singular","Find My Rep","","","","","","","Plugin Name of the plugin","find-my-rep-plugin.php find-my-rep-plugin.php:196"
"singular","https://github.com/Bones5/find-my-rep-plugin","","","","","","","Plugin URI of the plugin","find-my-rep-plugin.php"
"singular","A WordPress plugin that creates a Gutenberg block for contacting local representatives via templated letters sent through Resend.","","","","","","","Description of the plugin","find-my-rep-plugin.php"
"singular","Bones5","","","","","","","Author of the plugin","find-my-rep-plugin.php"
"singular","Find My Rep Settings","","","","","","","","find-my-rep-plugin.php:195"
"singular","Plugin Settings","","","","","","","","find-my-rep-plugin.php:223"
"singular","Representatives API URL","","","","","","","","find-my-rep-plugin.php:230"
"singular","Resend API Key","","","","","","","","find-my-rep-plugin.php:238"
"singular","From Email Address","","","","","","","","find-my-rep-plugin.php:246"
"singular","Letter Template","","","","","","","","find-my-rep-plugin.php:254"
"singular","Email Transport","","","","","","","","find-my-rep-plugin.php:262"
"singular","CC Email Address (Usage Tracking)","","","","","","","","find-my-rep-plugin.php:270"
"singular","Configure the letter template and API settings for the Find My Rep plugin.","","","","","","","","find-my-rep-plugin.php:296"
"singular","The Find My Rep API endpoint used to look up representatives by postcode.","","","","","","","","find-my-rep-plugin.php:306"
"singular","For local development with Docker, use http://host.docker.internal:3000/api/reps (the default).","","","","","","","","find-my-rep-plugin.php:307"
"singular","For production, use the deployed API URL (e.g. https://find-my-rep.fly.dev/api/reps).","","","","","","","","find-my-rep-plugin.php:308"
"singular","The address emails are sent from. Must be a verified domain in Resend. The constituent's address is used as Reply-To so replies go directly to them.","","","","","","","","find-my-rep-plugin.php:318"
"singular","Enter your Resend API key for sending emails.","","","","","","","","find-my-rep-plugin.php:328"
"singular","Enter the default letter template. Use {{representative_name}} and {{representative_title}} as placeholders.","","","","","","","","find-my-rep-plugin.php:338"
"singular","Optional. When set, a copy of every letter sent via this plugin will be CC'd to this address for usage tracking. Leave empty to disable.","","","","","","","","find-my-rep-plugin.php:348"
"singular","Resend API","","","","","","","","find-my-rep-plugin.php:359"
"singular","SMTP (wp_mail)","","","","","","","","find-my-rep-plugin.php:360"
"singular","Test (Log to File)","","","","","","","","find-my-rep-plugin.php:361"
"singular","Select the email transport method. Use ""Test"" for development to log emails to file.","","","","","","","","find-my-rep-plugin.php:363"
"singular","Please wait a few minutes before sending more messages.","","","","","","","","find-my-rep-plugin.php:429"
"singular","Invalid representatives data.","","","","","","","","find-my-rep-plugin.php:436"
"singular","Letter from constituent","","","","","","","","find-my-rep-plugin.php:470"
"singular","Failed to send to %1$s: %2$s","","","","","","","translators: 1: representative name, 2: delivery error message.","find-my-rep-plugin.php:478"
"plural","Successfully sent %d letter.","Successfully sent %d letters.","","","","","","translators: %d: number of letters sent.","find-my-rep-plugin.php:489"
"plural","Successfully sent %1$d of %2$d letter.","Successfully sent %1$d of %2$d letters.","","","","","","translators: 1: number of letters sent, 2: total number of letters attempted.","find-my-rep-plugin.php:503"
"singular","Failed to send any letters.","","","","","","","","find-my-rep-plugin.php:518"
"singular","Member of Parliament for %s","","","","","","","translators: %s: constituency name.","find-my-rep-plugin.php:540"
"singular","Member of Parliament","","","","","","","","find-my-rep-plugin.php:543"
"singular","Member of the Senedd for %s","","","","","","","translators: %s: Senedd constituency name.","find-my-rep-plugin.php:550"
"singular","Member of the Senedd","","","","","","","","find-my-rep-plugin.php:553"
"singular","Police and Crime Commissioner for %s","","","","","","","translators: %s: police force area.","find-my-rep-plugin.php:560"
"singular","Police and Crime Commissioner","","","","","","","","find-my-rep-plugin.php:563"
"singular","Councillor for %1$s, %2$s","","","","","","","translators: 1: ward name, 2: council name.","find-my-rep-plugin.php:571"
"singular","Councillor for %s","","","","","","","translators: %s: ward name.","find-my-rep-plugin.php:578"
"singular","Councillor","","","","","","","","find-my-rep-plugin.php:582"
"singular","Representative","","","","","","","","find-my-rep-plugin.php:585"
"singular","Please fill in all fields.","","","","","","","","find-my-rep-plugin.php:600"
"singular","Please enter a valid email address.","","","","","","","","find-my-rep-plugin.php:604"
"singular","Spam detected.","","","","","","","","find-my-rep-plugin.php:608"
"singular","Please shorten your message before sending.","","","","","","","","find-my-rep-plugin.php:612"
"singular","Please remove abusive or threatening language before sending your message.","","","","","","","","find-my-rep-plugin.php:620"
